Age Last,S0408 Male,S0408 Female,S0408-IL Male,S0408-IL Female,S0408DTPD Male,S0408DTPD Female,S0408DTPD-IL Male,S0408DTPD-IL Female
0,0.184,0.194,,,0.185,0.24,,
1,0.163,0.176,,,0.164,0.219,,
2,0.144,0.16,,,0.148,0.2,,
3,0.128,0.147,,,0.139,0.184,,
4,0.115,0.136,,,0.132,0.171,,
5,0.104,0.127,,,0.127,0.16,,
6,0.097,0.121,,,0.125,0.152,,
7,0.093,0.117,,,0.125,0.147,,
8,0.092,0.115,,,0.128,0.143,,
9,0.095,0.114,,,0.135,0.142,,
10,0.103,0.116,,,0.145,0.143,,
11,0.114,0.118,,,0.159,0.146,,
12,0.13,0.123,,,0.177,0.152,,
13,0.149,0.13,,,0.198,0.16,,
14,0.171,0.138,,,0.222,0.17,,
15,0.194,0.149,,,0.247,0.183,,
16,0.219,0.161,,,0.273,0.197,,
17,0.243,0.174,,,0.298,0.212,,
18,0.266,0.186,,,0.321,0.225,,
19,0.286,0.196,,,0.342,0.237,,
20,0.303,0.204,0.4,0.335,0.358,0.246,0.424,0.345
21,0.317,0.208,0.427,0.303,0.371,0.25,0.447,0.328
22,0.327,0.209,0.448,0.271,0.38,0.25,0.464,0.311
23,0.332,0.206,0.463,0.242,0.385,0.246,0.475,0.278
24,0.334,0.199,0.469,0.217,0.386,0.238,0.481,0.248
25,0.333,0.191,0.468,0.195,0.383,0.226,0.48,0.221
26,0.329,0.181,0.461,0.179,0.378,0.214,0.475,0.199
27,0.325,0.172,0.448,0.167,0.372,0.201,0.467,0.183
28,0.32,0.164,0.432,0.161,0.366,0.191,0.457,0.175
29,0.317,0.16,0.415,0.16,0.363,0.185,0.446,0.173
30,0.318,0.16,0.4,0.165,0.363,0.184,0.437,0.179
31,0.324,0.164,0.389,0.174,0.368,0.19,0.432,0.191
32,0.334,0.175,0.385,0.187,0.379,0.203,0.433,0.208
33,0.349,0.19,0.391,0.202,0.395,0.222,0.442,0.228
34,0.368,0.21,0.408,0.22,0.417,0.247,0.46,0.252
35,0.391,0.235,0.437,0.243,0.442,0.277,0.487,0.279
36,0.418,0.264,0.476,0.271,0.471,0.311,0.523,0.312
37,0.447,0.298,0.525,0.308,0.503,0.35,0.566,0.351
38,0.478,0.336,0.581,0.354,0.538,0.392,0.618,0.4
39,0.512,0.378,0.646,0.411,0.576,0.438,0.679,0.458
40,0.55,0.424,0.718,0.475,0.62,0.487,0.752,0.525
41,0.593,0.472,0.799,0.543,0.671,0.537,0.84,0.597
42,0.644,0.521,0.89,0.611,0.733,0.589,0.945,0.672
43,0.706,0.57,0.993,0.678,0.809,0.642,1.07,0.749
44,0.783,0.62,1.11,0.742,0.902,0.696,1.219,0.827
45,0.879,0.672,1.243,0.805,1.017,0.754,1.393,0.906
46,0.995,0.728,1.394,0.869,1.155,0.818,1.59,0.99
47,1.133,0.794,1.561,0.935,1.317,0.892,1.81,1.077
