year,sex,age_x,qx,lx,dx,upcase_lx,upcase_tx,ex
2003,Total,0,0.00246,100000,246,99799,7914439,79.1
2003,Total,1,0.00019,99754,19,99745,7814640,78.3
2003,Total,2,0.00018,99736,18,99726,7714895,77.4
2003,Total,3,0.00017,99717,17,99709,7615169,76.4
2003,Total,4,0.00015,99700,15,99693,7515460,75.4
2003,Total,5,0.00013,99685,13,99679,7415767,74.4
2003,Total,6,0.00011,99672,11,99667,7316088,73.4
2003,Total,7,0.0001,99661,10,99656,7216422,72.4
2003,Total,8,0.0001,99651,10,99646,7116766,71.4
2003,Total,9,0.0001,99641,10,99636,7017120,70.4
2003,Total,10,0.00011,99630,11,99625,6917484,69.4
2003,Total,11,0.00012,99619,12,99614,6817860,68.4
2003,Total,12,0.00013,99608,13,99601,6718246,67.4
2003,Total,13,0.00016,99595,16,99587,6618645,66.5
2003,Total,14,0.0002,99579,20,99569,6519058,65.5
2003,Total,15,0.00024,99559,24,99547,6419489,64.5
2003,Total,16,0.00028,99535,28,99522,6319942,63.5
2003,Total,17,0.00031,99508,31,99492,6220420,62.5
2003,Total,18,0.00035,99477,35,99459,6120928,61.5
2003,Total,19,0.00039,99441,39,99422,6021469,60.6
2003,Total,20,0.00043,99403,43,99381,5922047,59.6
2003,Total,21,0.00047,99360,47,99336,5822666,58.6
2003,Total,22,0.00049,99313,49,99289,5723329,57.6
2003,Total,23,0.00048,99265,48,99241,5624040,56.7
2003,Total,24,0.00046,99216,46,99193,5524800,55.7
2003,Total,25,0.00044,99170,43,99149,5425606,54.7
2003,Total,26,0.00042,99127,41,99106,5326458,53.7
2003,Total,27,0.00041,99086,41,99066,5227351,52.8
2003,Total,28,0.00042,99045,42,99024,5128286,51.8
2003,Total,29,0.00045,99004,44,98982,5029261,50.8
2003,Total,30,0.00047,98959,47,98936,4930280,49.8
2003,Total,31,0.0005,98913,50,98888,4831344,48.8
2003,Total,32,0.00053,98863,53,98837,4732456,47.9
2003,Total,33,0.00058,98810,57,98782,4633619,46.9
2003,Total,34,0.00062,98753,62,98723,4534837,45.9
2003,Total,35,0.00067,98692,66,98659,4436115,44.9
2003,Total,36,0.00072,98625,71,98590,4337456,44
2003,Total,37,0.00079,98554,78,98515,4238866,43
2003,Total,38,0.00087,98476,85,98434,4140351,42
